time_s,seq,n,x_raw,y_raw,z_raw,x_g,y_g,z_g
-0.100000,18,0,377,-6,-27,1.4727,-0.0234,-0.1055
-0.050000,18,1,508,-24,-30,1.9844,-0.0938,-0.1172
0.003022,19,0,314,92,-47,1.2266,0.3594,-0.1836
0.053022,19,1,277,63,-34,1.0820,0.2461,-0.1328
0.104833,20,0,240,-35,1,0.9375,-0.1367,0.0039
0.154833,20,1,204,16,-40,0.7969,0.0625,-0.1562
0.201702,21,0,193,66,-66,0.7539,0.2578,-0.2578
0.251702,21,1,212,174,-102,0.8281,0.6797,-0.3984
0.296860,22,0,348,-122,-31,1.3594,-0.4766,-0.1211
0.346860,22,1,439,-320,16,1.7148,-1.2500,0.0625
0.403359,23,0,161,208,-85,0.6289,0.8125,-0.3320
0.453359,23,1,154,255,-68,0.6016,0.9961,-0.2656
0.503493,24,0,144,303,-52,0.5625,1.1836,-0.2031
0.553493,24,1,524,-433,167,2.0469,-1.6914,0.6523
0.599731,25,0,463,-274,131,1.8086,-1.0703,0.5117
0.649731,25,1,223,287,-11,0.8711,1.1211,-0.0430
0.705284,26,0,172,287,-72,0.6719,1.1211,-0.2812
0.755284,26,1,216,165,-41,0.8438,0.6445,-0.1602
0.804364,27,0,476,-327,147,1.8594,-1.2773,0.5742
0.854364,27,1,354,-86,51,1.3828,-0.3359,0.1992
0.904374,28,0,273,74,-12,1.0664,0.2891,-0.0469
0.954374,28,1,134,351,-142,0.5234,1.3711,-0.5547
1.037582,29,0,348,-45,3,1.3594,-0.1758,0.0117
1.087582,29,1,562,-441,149,2.1953,-1.7227,0.5820
1.116437,30,0,197,114,-26,0.7695,0.4453,-0.1016
1.166437,30,1,170,199,-67,0.6641,0.7773,-0.2617
1.230679,31,0,190,234,-99,0.7422,0.9141,-0.3867
1.280679,31,1,334,-324,55,1.3047,-1.2656,0.2148
1.312042,32,0,338,-346,55,1.3203,-1.3516,0.2148
1.362042,32,1,208,126,-98,0.8125,0.4922,-0.3828
1.435376,33,0,163,211,-119,0.6367,0.8242,-0.4648
1.485376,33,1,165,202,-119,0.6445,0.7891,-0.4648
1.514090,34,0,446,-392,10,1.7422,-1.5312,0.0391
1.564090,34,1,284,-144,-24,1.1094,-0.5625,-0.0938
1.597082,35,0,123,104,-58,0.4805,0.4062,-0.2266
1.647082,35,1,114,219,-51,0.4453,0.8555,-0.1992
1.716341,36,0,285,-14,-24,1.1133,-0.0547,-0.0938
1.766341,36,1,543,-383,15,2.1211,-1.4961,0.0586
1.829123,37,0,187,13,-48,0.7305,0.0508,-0.1875
1.879123,37,1,122,110,-74,0.4766,0.4297,-0.2891
1.911731,38,0,218,106,-114,0.8516,0.4141,-0.4453
1.961731,38,1,296,-38,-39,1.1562,-0.1484,-0.1523
2.033747,39,0,322,-90,-7,1.2578,-0.3516,-0.0273
2.083747,39,1,251,-3,-16,0.9805,-0.0117,-0.0625
2.156656,40,0,246,7,-27,0.9609,0.0273,-0.1055
2.206656,40,1,241,18,-39,0.9414,0.0703,-0.1523
2.195977,41,0,225,18,-5,0.8789,0.0703,-0.0195
2.245977,41,1,223,3,-28,0.8711,0.0117,-0.1094
2.352932,42,0,220,-18,-63,0.8594,-0.0703,-0.2461
2.402932,42,1,243,7,-14,0.9492,0.0273,-0.0547
2.435429,43,0,249,13,-1,0.9727,0.0508,-0.0039
2.485429,43,1,251,11,0,0.9805,0.0430,0.0000
2.516204,44,0,251,11,0,0.9805,0.0430,0.0000
2.566204,44,1,252,10,0,0.9844,0.0391,0.0000
2.632707,45,0,252,10,0,0.9844,0.0391,0.0000
2.682707,45,1,251,10,0,0.9805,0.0391,0.0000
2.716833,46,0,251,10,0,0.9805,0.0391,0.0000
2.766833,46,1,252,10,0,0.9844,0.0391,0.0000
2.795928,47,0,252,9,0,0.9844,0.0352,0.0000
2.845928,47,1,252,9,0,0.9844,0.0352,0.0000
2.917124,48,0,252,9,0,0.9844,0.0352,0.0000
2.967124,48,1,251,9,0,0.9805,0.0352,0.0000
3.031159,49,0,251,9,0,0.9805,0.0352,0.0000
3.081159,49,1,251,9,0,0.9805,0.0352,0.0000
3.115772,50,0,252,9,0,0.9844,0.0352,0.0000
3.165772,50,1,252,9,0,0.9844,0.0352,0.0000
3.237091,51,0,251,9,0,0.9805,0.0352,0.0000
3.287091,51,1,251,9,0,0.9805,0.0352,0.0000
3.316250,52,0,252,9,0,0.9844,0.0352,0.0000
3.366250,52,1,252,9,0,0.9844,0.0352,0.0000
3.433556,53,0,252,9,-1,0.9844,0.0352,-0.0039
3.483556,53,1,252,8,0,0.9844,0.0312,0.0000
3.516563,54,0,251,8,0,0.9805,0.0312,0.0000
3.566563,54,1,251,8,0,0.9805,0.0312,0.0000
3.632301,55,0,251,8,0,0.9805,0.0312,0.0000
3.682301,55,1,252,8,-1,0.9844,0.0312,-0.0039
